payment_id,account_id,invoice_id,payment_date,amount,method
PAY-2002-010,ACC-2002,INV-2002-010,2026-06-23,11742.69,wire
PAY-2002-011,ACC-2002,INV-2002-011,2026-07-15,11699.35,wire
PAY-2003-001,ACC-2003,INV-2003-001,2025-09-29,8420.61,ACH
PAY-2003-002,ACC-2003,INV-2003-002,2025-10-31,8759.68,check
PAY-2003-003,ACC-2003,INV-2003-003,2025-12-07,7233.93,ACH
PAY-2003-004,ACC-2003,INV-2003-004,2026-01-07,9100.03,ACH
PAY-2003-005,ACC-2003,INV-2003-005,2026-02-05,9576.58,ACH
PAY-2003-006,ACC-2003,INV-2003-006,2026-03-10,7714.95,wire
PAY-2003-007,ACC-2003,INV-2003-007,2026-04-20,9504.83,check
PAY-2003-008,ACC-2003,INV-2003-008,2026-05-20,7695.1,ACH
PAY-2003-009,ACC-2003,INV-2003-009,2026-06-17,9603.51,ACH
PAY-2003-010,ACC-2003,INV-2003-010,2026-08-02,7787.98,wire
PAY-3001-001,ACC-3001,INV-3001-001,2025-06-16,30646.57,ACH
PAY-3001-002,ACC-3001,INV-3001-002,2025-06-29,31053.26,wire
PAY-3001-003,ACC-3001,INV-3001-003,2025-08-18,22741.68,ACH
PAY-3001-004,ACC-3001,INV-3001-004,2025-09-02,29321.11,ACH
PAY-3001-005,ACC-3001,INV-3001-005,2025-09-28,26794.39,check
PAY-3001-006,ACC-3001,INV-3001-006,2025-11-09,27871.72,check
PAY-3001-007,ACC-3001,INV-3001-007,2025-11-27,27713.69,ACH
PAY-3001-008,ACC-3001,INV-3001-008,2026-01-04,28982.05,ACH
PAY-3001-009,ACC-3001,INV-3001-009,2026-01-22,23340.77,wire
PAY-3001-010,ACC-3001,INV-3001-010,2026-04-17,31399.33,check
PAY-3001-011,ACC-3001,INV-3001-011,2026-03-20,30220.13,ACH
PAY-3001-012,ACC-3001,INV-3001-012,2026-05-18,26697.84,ACH
PAY-3001-013,ACC-3001,INV-3001-013,2026-07-10,7594.22,ACH
PAY-3002-001,ACC-3002,INV-3002-001,2025-09-20,17476.69,ACH
PAY-3002-002,ACC-3002,INV-3002-002,2025-08-05,17106.91,check
PAY-3002-003,ACC-3002,INV-3002-003,2025-10-29,19934.62,ACH
PAY-3002-004,ACC-3002,INV-3002-004,2025-12-03,15886.99,ACH
PAY-3002-005,ACC-3002,INV-3002-005,2025-12-17,19823.82,wire
PAY-3002-006,ACC-3002,INV-3002-006,2025-12-06,19048.0,check
PAY-3002-007,ACC-3002,INV-3002-007,2025-12-29,20675.47,wire
PAY-3002-008,ACC-3002,INV-3002-008,2026-02-04,20417.27,ACH
PAY-3002-009,ACC-3002,INV-3002-009,2026-03-11,15529.89,check
PAY-3002-010,ACC-3002,INV-3002-010,2026-04-18,16331.62,ACH
PAY-3003-001,ACC-3003,INV-3003-001,2025-12-13,8477.48,ACH
PAY-3003-002,ACC-3003,INV-3003-002,2026-01-27,7440.22,ACH
PAY-3003-003,ACC-3003,INV-3003-003,2026-01-22,8564.11,wire
PAY-3003-004,ACC-3003,INV-3003-004,2026-01-22,7440.12,ACH
PAY-3003-005,ACC-3003,INV-3003-005,2026-02-08,8719.29,ACH
PAY-3003-006,ACC-3003,INV-3003-006,2026-05-05,7910.67,check
PAY-3003-007,ACC-3003,INV-3003-007,2026-05-10,7584.2,check
PAY-3003-008,ACC-3003,INV-3003-008,2026-06-13,6974.78,wire
PAY-3003-009,ACC-3003,INV-3003-009,2026-07-15,1053.03,ACH
