invoice_id,account_id,issue_date,due_date,amount,amount_paid,status,paid_date,days_late,disputed,po_number,description
INV-1001-015,ACC-1001,2026-03-27,2026-04-26,15103.08,15103.08,paid,2026-05-10,14.0,False,PO-61478,Usage overage
INV-1001-016,ACC-1001,2026-04-29,2026-05-29,14132.68,14132.68,paid,2026-06-12,14.0,False,PO-44636,Monthly platform subscription
INV-1001-017,ACC-1001,2026-05-29,2026-06-28,18179.91,18179.91,paid,2026-07-12,14.0,False,PO-42029,Implementation services
INV-1001-018,ACC-1001,2026-06-25,2026-07-25,18651.56,18651.56,paid,2026-08-06,12.0,False,PO-92299,Usage overage
INV-1001-019,ACC-1001,2026-07-26,2026-08-25,17713.64,0.0,open,,,False,PO-82594,Managed services retainer
INV-1002-001,ACC-1002,2025-05-12,2025-06-11,5693.07,5693.07,paid,2025-06-22,11.0,False,PO-94162,Managed services retainer
INV-1002-002,ACC-1002,2025-06-10,2025-07-10,5219.79,5219.79,paid,2025-07-24,14.0,False,PO-79060,Monthly platform subscription
INV-1002-003,ACC-1002,2025-07-08,2025-08-07,6513.31,6513.31,paid,2025-08-17,10.0,False,PO-53500,Implementation services
INV-1002-004,ACC-1002,2025-08-08,2025-09-07,6460.93,6460.93,paid,2025-09-20,13.0,False,PO-62814,Managed services retainer
INV-1002-005,ACC-1002,2025-09-05,2025-10-05,5499.58,5499.58,paid,2025-10-18,13.0,False,PO-52310,Managed services retainer
INV-1002-006,ACC-1002,2025-10-04,2025-11-03,5457.3,5457.3,paid,2025-11-17,14.0,False,PO-43341,Monthly platform subscription
INV-1002-007,ACC-1002,2025-11-02,2025-12-02,4866.01,4866.01,paid,2025-12-18,16.0,False,PO-43394,Monthly platform subscription
INV-1002-008,ACC-1002,2025-12-06,2026-01-05,4786.97,4786.97,paid,2026-01-22,17.0,False,PO-53951,Implementation services
INV-1002-009,ACC-1002,2026-01-06,2026-02-05,6080.18,6080.18,paid,2026-02-18,13.0,False,PO-53408,Monthly platform subscription
INV-1002-010,ACC-1002,2026-02-06,2026-03-08,6528.81,6528.81,paid,2026-03-23,15.0,False,PO-95295,Monthly platform subscription
INV-1002-011,ACC-1002,2026-03-06,2026-04-05,4569.5,4569.5,paid,2026-04-18,13.0,False,PO-66976,Monthly platform subscription
INV-1002-012,ACC-1002,2026-04-04,2026-05-04,6350.07,6350.07,paid,2026-05-16,12.0,False,PO-60730,Implementation services
INV-1002-013,ACC-1002,2026-05-03,2026-06-02,5965.82,5965.82,paid,2026-06-15,13.0,False,PO-68130,Managed services retainer
INV-1002-014,ACC-1002,2026-06-05,2026-07-05,4788.34,4788.34,paid,2026-07-20,15.0,False,PO-59384,Implementation services
INV-1002-015,ACC-1002,2026-07-01,2026-07-31,5328.24,5328.24,paid,2026-08-14,14.0,False,PO-71887,Monthly platform subscription
INV-1002-016,ACC-1002,2026-08-02,2026-09-01,5187.9,0.0,open,,,False,PO-81231,Usage overage
INV-1003-001,ACC-1003,2024-11-09,2024-12-24,4665.17,4665.17,paid,2025-01-06,13.0,False,PO-41219,Usage overage
INV-1003-002,ACC-1003,2024-12-12,2025-01-26,4418.83,4418.83,paid,2025-02-06,11.0,False,PO-49247,Implementation services
INV-1003-003,ACC-1003,2025-01-09,2025-02-23,4594.31,4594.31,paid,2025-03-06,11.0,False,PO-91834,Implementation services
INV-1003-004,ACC-1003,2025-02-07,2025-03-24,4252.01,4252.01,paid,2025-04-04,11.0,False,PO-41760,Usage overage
INV-1003-005,ACC-1003,2025-03-11,2025-04-25,3952.2,3952.2,paid,2025-05-08,13.0,False,PO-51719,Managed services retainer
INV-1003-006,ACC-1003,2025-04-10,2025-05-25,4232.22,4232.22,paid,2025-06-07,13.0,False,PO-91061,Managed services retainer
INV-1003-007,ACC-1003,2025-05-10,2025-06-24,4335.53,4335.53,paid,2025-07-03,9.0,False,PO-64136,Monthly platform subscription
INV-1003-008,ACC-1003,2025-06-10,2025-07-25,4147.66,4147.66,paid,2025-08-07,13.0,False,PO-84464,Implementation services
INV-1003-009,ACC-1003,2025-07-12,2025-08-26,3807.59,3807.59,paid,2025-09-08,13.0,False,PO-46991,Implementation services
INV-1003-010,ACC-1003,2025-08-05,2025-09-19,4051.06,4051.06,paid,2025-10-02,13.0,False,PO-41901,Usage overage
INV-1003-011,ACC-1003,2025-09-07,2025-10-22,4601.86,4601.86,paid,2025-11-04,13.0,False,PO-92091,Monthly platform subscription
INV-1003-012,ACC-1003,2025-10-05,2025-11-19,4436.75,4436.75,paid,2025-12-04,15.0,False,PO-52241,Usage overage
INV-1003-013,ACC-1003,2025-11-06,2025-12-21,4816.65,4816.65,paid,2026-01-07,17.0,False,PO-61658,Managed services retainer
INV-1003-014,ACC-1003,2025-12-09,2026-01-23,3769.58,3769.58,paid,2026-02-03,11.0,False,PO-49027,Managed services retainer
INV-1003-015,ACC-1003,2026-01-05,2026-02-19,3695.07,3695.07,paid,2026-03-03,12.0,False,PO-69146,Implementation services
INV-1003-016,ACC-1003,2026-02-04,2026-03-21,4773.77,4773.77,paid,2026-04-05,15.0,False,PO-82968,Implementation services
INV-1003-017,ACC-1003,2026-03-06,2026-04-20,4541.09,4541.09,paid,2026-05-04,14.0,False,PO-95144,Managed services retainer
INV-1003-018,ACC-1003,2026-04-05,2026-05-20,3973.07,3973.07,paid,2026-06-01,12.0,False,PO-77041,Managed services retainer
INV-1003-019,ACC-1003,2026-05-07,2026-06-21,3317.74,3317.74,paid,2026-07-04,13.0,False,PO-66216,Usage overage
INV-1003-020,ACC-1003,2026-06-02,2026-07-17,4356.19,4356.19,paid,2026-07-29,12.0,False,PO-50316,Usage overage
INV-1003-021,ACC-1003,2026-07-04,2026-08-18,3921.6,0.0,open,,,False,PO-59669,Monthly platform subscription
INV-2001-001,ACC-2001,2025-04-20,2025-05-20,21454.15,21454.15,paid,2025-05-22,2.0,False,PO-75505,Monthly platform subscription
INV-2001-002,ACC-2001,2025-05-16,2025-06-15,20757.98,20757.98,paid,2025-06-21,6.0,False,PO-41967,Managed services retainer
INV-2001-003,ACC-2001,2025-06-19,2025-07-19,18588.1,18588.1,paid,2025-07-26,7.0,False,PO-79294,Monthly platform subscription
INV-2001-004,ACC-2001,2025-07-14,2025-08-13,20206.14,20206.14,paid,2025-08-22,9.0,False,PO-86631,Implementation services
INV-2001-005,ACC-2001,2025-08-18,2025-09-17,17967.27,17967.27,paid,2025-09-30,13.0,False,PO-72724,Managed services retainer
INV-2001-006,ACC-2001,2025-09-12,2025-10-12,17787.12,17787.12,paid,2025-10-27,15.0,False,PO-91381,Usage overage
INV-2001-007,ACC-2001,2025-10-16,2025-11-15,20082.69,20082.69,paid,2025-12-12,27.0,False,PO-77000,Managed services retainer
INV-2001-008,ACC-2001,2025-11-17,2025-12-17,21566.17,21566.17,paid,2026-01-10,24.0,False,PO-70043,Usage overage
INV-2001-009,ACC-2001,2025-12-16,2026-01-15,21654.98,21654.98,paid,2026-02-08,24.0,False,PO-76310,Managed services retainer
INV-2001-010,ACC-2001,2026-01-10,2026-02-09,23132.86,23132.86,paid,2026-03-03,22.0,False,PO-49950,Usage overage
INV-2001-011,ACC-2001,2026-02-14,2026-03-16,17424.24,17424.24,paid,2026-04-13,28.0,False,PO-62504,Managed services retainer
INV-2001-012,ACC-2001,2026-03-13,2026-04-12,21156.66,21156.66,paid,2026-05-16,34.0,False,PO-73527,Implementation services
INV-2001-013,ACC-2001,2026-04-13,2026-05-13,22814.74,22814.74,paid,2026-06-16,34.0,False,PO-58569,Managed services retainer
INV-2001-014,ACC-2001,2026-05-15,2026-06-14,18735.72,18735.72,paid,2026-07-20,36.0,False,PO-72353,Managed services retainer
INV-2001-015,ACC-2001,2026-06-12,2026-07-12,19850.97,0.0,open,,,False,PO-97471,Professional services
INV-2001-016,ACC-2001,2026-07-12,2026-08-11,19736.83,0.0,open,,,False,PO-42690,Professional services
INV-2001-017,ACC-2001,2026-08-08,2026-09-07,24741.3,0.0,open,,,False,PO-80178,Usage overage
INV-2002-001,ACC-2002,2025-07-21,2025-08-20,13327.37,13327.37,paid,2025-09-01,12.0,False,PO-68137,Managed services retainer
INV-2002-002,ACC-2002,2025-08-15,2025-09-14,11035.43,11035.43,paid,2025-09-24,10.0,False,PO-86846,Managed services retainer
INV-2002-003,ACC-2002,2025-09-15,2025-10-15,13924.51,13924.51,paid,2025-10-23,8.0,False,PO-82165,Managed services retainer
INV-2002-004,ACC-2002,2025-10-20,2025-11-19,11942.23,11942.23,paid,2025-12-05,16.0,False,PO-49785,Monthly platform subscription
INV-2002-005,ACC-2002,2025-11-16,2025-12-16,15435.96,15435.96,paid,2026-01-01,16.0,False,PO-67528,Managed services retainer
INV-2002-006,ACC-2002,2025-12-16,2026-01-15,10717.07,10717.07,paid,2026-01-31,16.0,False,PO-64097,Usage overage
INV-2002-007,ACC-2002,2026-01-16,2026-02-15,13102.21,13102.21,paid,2026-03-13,26.0,False,PO-69713,Managed services retainer
INV-2002-008,ACC-2002,2026-02-13,2026-03-15,12500.48,12500.48,paid,2026-04-12,28.0,False,PO-56541,Implementation services
INV-2002-009,ACC-2002,2026-03-15,2026-04-14,13101.51,13101.51,paid,2026-05-18,34.0,False,PO-46277,Monthly platform subscription
INV-2002-010,ACC-2002,2026-04-17,2026-05-17,11742.69,11742.69,paid,2026-06-23,37.0,False,PO-54824,Implementation services
INV-2002-011,ACC-2002,2026-05-16,2026-06-15,11699.35,11699.35,paid,2026-07-15,30.0,False,PO-49502,Usage overage
INV-2002-012,ACC-2002,2026-06-14,2026-07-14,14638.3,0.0,open,,,False,PO-92277,Managed services retainer
INV-2002-013,ACC-2002,2026-07-06,2026-08-05,12780.37,0.0,open,,,False,PO-78774,Professional services
INV-2002-014,ACC-2002,2026-08-05,2026-09-04,16682.8,0.0,open,,,False,PO-55952,Usage overage
INV-2003-001,ACC-2003,2025-08-24,2025-09-23,8420.61,8420.61,paid,2025-09-29,6.0,False,PO-77795,Usage overage
INV-2003-002,ACC-2003,2025-09-25,2025-10-25,8759.68,8759.68,paid,2025-10-31,6.0,False,PO-75316,Managed services retainer
INV-2003-003,ACC-2003,2025-10-25,2025-11-24,7233.93,7233.93,paid,2025-12-07,13.0,False,PO-50786,Managed services retainer
INV-2003-004,ACC-2003,2025-11-19,2025-12-19,9100.03,9100.03,paid,2026-01-07,19.0,False,PO-42895,Implementation services
INV-2003-005,ACC-2003,2025-12-20,2026-01-19,9576.58,9576.58,paid,2026-02-05,17.0,False,PO-74904,Monthly platform subscription
INV-2003-006,ACC-2003,2026-01-17,2026-02-16,7714.95,7714.95,paid,2026-03-10,22.0,False,PO-45145,Managed services retainer
INV-2003-007,ACC-2003,2026-02-19,2026-03-21,9504.83,9504.83,paid,2026-04-20,30.0,False,PO-52595,Usage overage
INV-2003-008,ACC-2003,2026-03-20,2026-04-19,7695.1,7695.1,paid,2026-05-20,31.0,False,PO-41074,Monthly platform subscription
INV-2003-009,ACC-2003,2026-04-18,2026-05-18,9603.51,9603.51,paid,2026-06-17,30.0,False,PO-93475,Usage overage
INV-2003-010,ACC-2003,2026-05-22,2026-06-21,7787.98,7787.98,paid,2026-08-02,42.0,False,PO-46570,Implementation services
INV-2003-011,ACC-2003,2026-06-19,2026-07-19,9329.61,0.0,open,,,False,PO-42973,Professional services
INV-2003-012,ACC-2003,2026-07-17,2026-08-16,10020.2,0.0,open,,,False,PO-76120,Professional services
INV-3001-001,ACC-3001,2025-04-21,2025-05-21,30646.57,30646.57,paid,2025-06-16,26.0,False,PO-97615,Monthly platform subscription
INV-3001-002,ACC-3001,2025-05-21,2025-06-20,31053.26,31053.26,paid,2025-06-29,9.0,False,PO-55569,Usage overage
INV-3001-003,ACC-3001,2025-06-18,2025-07-18,22741.68,22741.68,paid,2025-08-18,31.0,False,PO-69039,Managed services retainer
INV-3001-004,ACC-3001,2025-07-21,2025-08-20,29321.11,29321.11,paid,2025-09-02,13.0,False,PO-77927,Implementation services
INV-3001-005,ACC-3001,2025-08-16,2025-09-15,26794.39,26794.39,paid,2025-09-28,13.0,False,PO-46372,Usage overage
INV-3001-006,ACC-3001,2025-09-13,2025-10-13,27871.72,27871.72,paid,2025-11-09,27.0,False,PO-77315,Monthly platform subscription
INV-3001-007,ACC-3001,2025-10-19,2025-11-18,27713.69,27713.69,paid,2025-11-27,9.0,False,PO-84141,Managed services retainer
INV-3001-008,ACC-3001,2025-11-14,2025-12-14,28982.05,28982.05,paid,2026-01-04,21.0,False,PO-98105,Monthly platform subscription
INV-3001-009,ACC-3001,2025-12-15,2026-01-14,23340.77,23340.77,paid,2026-01-22,8.0,False,PO-61060,Usage overage
INV-3001-010,ACC-3001,2026-01-11,2026-02-10,31399.33,31399.33,paid,2026-04-17,66.0,False,PO-95509,Monthly platform subscription
INV-3001-011,ACC-3001,2026-02-13,2026-03-15,30220.13,30220.13,paid,2026-03-20,5.0,False,PO-87669,Implementation services
INV-3001-012,ACC-3001,2026-03-18,2026-04-17,26697.84,26697.84,paid,2026-05-18,31.0,False,PO-95232,Managed services retainer
INV-3001-013,ACC-3001,2026-04-14,2026-05-14,34519.17,7594.22,partial,,,False,PO-93076,Managed services retainer
INV-3001-014,ACC-3001,2026-05-15,2026-06-14,30108.59,0.0,open,,,True,PO-98611,Usage overage
INV-3001-015,ACC-3001,2026-06-12,2026-07-12,28638.21,0.0,open,,,False,PO-46089,Professional services
INV-3001-016,ACC-3001,2026-07-11,2026-08-10,31529.93,0.0,open,,,False,PO-69504,Professional services
INV-3002-001,ACC-3002,2025-05-10,2025-06-24,17476.69,17476.69,paid,2025-09-20,88.0,False,PO-47306,Implementation services
INV-3002-002,ACC-3002,2025-06-10,2025-07-25,17106.91,17106.91,paid,2025-08-05,11.0,False,PO-77530,Managed services retainer
INV-3002-003,ACC-3002,2025-07-06,2025-08-20,19934.62,19934.62,paid,2025-10-29,70.0,False,PO-47399,Monthly platform subscription
INV-3002-004,ACC-3002,2025-08-08,2025-09-22,15886.99,15886.99,paid,2025-12-03,72.0,False,PO-91883,Monthly platform subscription
INV-3002-005,ACC-3002,2025-09-10,2025-10-25,19823.82,19823.82,paid,2025-12-17,53.0,False,PO-98649,Implementation services
INV-3002-006,ACC-3002,2025-10-06,2025-11-20,19048.0,19048.0,paid,2025-12-06,16.0,False,PO-65622,Implementation services
INV-3002-007,ACC-3002,2025-11-06,2025-12-21,20675.47,20675.47,paid,2025-12-29,8.0,False,PO-42448,Managed services retainer
INV-3002-008,ACC-3002,2025-12-05,2026-01-19,20417.27,20417.27,paid,2026-02-04,16.0,False,PO-97487,Managed services retainer
INV-3002-009,ACC-3002,2026-01-06,2026-02-20,15529.89,15529.89,paid,2026-03-11,19.0,False,PO-86211,Implementation services
INV-3002-010,ACC-3002,2026-02-05,2026-03-22,16331.62,16331.62,paid,2026-04-18,27.0,False,PO-69838,Usage overage
INV-3002-011,ACC-3002,2026-03-06,2026-04-20,17908.46,0.0,open,,,False,PO-94549,Professional services
INV-3002-012,ACC-3002,2026-04-18,2026-06-02,19884.78,0.0,open,,,False,PO-75356,Managed services retainer
INV-3002-013,ACC-3002,2026-05-22,2026-07-06,18710.91,0.0,open,,,False,PO-72791,Usage overage
INV-3003-001,ACC-3003,2025-08-25,2025-09-24,8477.48,8477.48,paid,2025-12-13,80.0,False,PO-83118,Implementation services
INV-3003-002,ACC-3003,2025-09-27,2025-10-27,7440.22,7440.22,paid,2026-01-27,92.0,False,PO-72584,Usage overage
INV-3003-003,ACC-3003,2025-10-22,2025-11-21,8564.11,8564.11,paid,2026-01-22,62.0,False,PO-46422,Usage overage
INV-3003-004,ACC-3003,2025-11-22,2025-12-22,7440.12,7440.12,paid,2026-01-22,31.0,False,PO-72648,Monthly platform subscription
INV-3003-005,ACC-3003,2025-12-25,2026-01-24,8719.29,8719.29,paid,2026-02-08,15.0,False,PO-76584,Implementation services
INV-3003-006,ACC-3003,2026-01-22,2026-02-21,7910.67,7910.67,paid,2026-05-05,73.0,False,PO-66743,Managed services retainer
INV-3003-007,ACC-3003,2026-02-19,2026-03-21,7584.2,7584.2,paid,2026-05-10,50.0,False,PO-97434,Implementation services
INV-3003-008,ACC-3003,2026-03-24,2026-04-23,6974.78,6974.78,paid,2026-06-13,51.0,False,PO-84843,Usage overage
INV-3003-009,ACC-3003,2026-04-23,2026-05-23,7020.18,1053.03,partial,,,False,PO-47036,Monthly platform subscription
INV-3003-010,ACC-3003,2026-05-23,2026-06-22,8961.46,0.0,open,,,True,PO-96872,Professional services
INV-3003-011,ACC-3003,2026-06-23,2026-07-23,8145.13,0.0,open,,,False,PO-64059,Usage overage
